date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:55	135/135	---M-Z	200	added ('OK')	text/plain	date:Thu,%2015%20Apr%202021%2022:11:05%20GMT	https://lebastonus.mozello.fr/robots.txt		(from )
00:12:56	28302/28302	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:11:05%20GMT	https://lebastonus.mozello.fr/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/index.html	(from )
00:12:56	28366/28366	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:11:06%20GMT	https://lebastonus.mozello.com/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.com/index.html	(from )
00:12:56	36352/36352	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:11:06%20GMT	https://lebastonus.mozello.com/regles/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.com/regles/index.html	(from )
00:12:57	84829/84829	---M-Z	200	added ('OK')	text/css	etag:%2214b5d-5bfe839d2fdc0-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/layout-shared.css?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/layout-shared85db.css	(from https://lebastonus.mozello.fr/)
00:12:57	3088/3088	---M-Z	200	added ('OK')	text/css	etag:%22c10-5bd1532468ac0-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/designs/times/css/layout.css?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/designs/times/css/layout85db.css	(from https://lebastonus.mozello.fr/)
00:12:57	2362/2362	---M-Z	200	added ('OK')	text/css	etag:%2293a-5bd1532468ac0-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/designs/times/css/editable.css?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/designs/times/css/editable85db.css	(from https://lebastonus.mozello.fr/)
00:12:57	23309/23309	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:12:56%20GMT	https://lebastonus.mozello.com/telecharger/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.com/telecharger/index.html	(from )
00:12:57	15086/15086	---MC-	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2015%20Apr%202021%2022:12:57%20GMT	https://lebastonus.mozello.fr/favicon.png?0	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/faviconcfcd.png	(from https://lebastonus.mozello.fr/)
00:12:57	13894/13894	---M-Z	200	added ('OK')	text/css	etag:%223646-5bd1535cacf80-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/libs/js/fancybox3/jquery.fancybox.min.css?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/js/fancybox3/jquery.fancybox.min85db.css	(from https://lebastonus.mozello.fr/)
00:12:58	52723/52723	---M-Z	200	added ('OK')	text/javascript	etag:%22cdf3-5bd1535da11c0-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/libs/js/fancybox3/jquery.fancybox.min.js?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/js/fancybox3/jquery.fancybox.min85db.js	(from https://lebastonus.mozello.fr/)
00:12:58	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://lebastonus.mozello.fr/)
